plant_code,plant_name,state,county,unit,EIA,EIA_proposed,NEEDS,CAPD,NESHAP
55486,Washington Parish Energy Center,Louisiana,Washington,1,TRUE,FALSE,TRUE,TRUE,FALSE
55486,Washington Parish Energy Center,Louisiana,Washington,2,TRUE,FALSE,TRUE,TRUE,FALSE
55524,York Energy Center,Pennsylvania,York,1,TRUE,FALSE,TRUE,FALSE,FALSE
55524,York Energy Center,Pennsylvania,York,2,TRUE,FALSE,TRUE,FALSE,FALSE
55524,York Energy Center,Pennsylvania,York,3,TRUE,FALSE,TRUE,FALSE,FALSE
55641,Riverside Energy Center,Wisconsin,Rock,1,FALSE,FALSE,FALSE,TRUE,FALSE
55641,Riverside Energy Center,Wisconsin,Rock,2,FALSE,FALSE,FALSE,TRUE,FALSE
55641,Riverside Energy Center,Wisconsin,Rock,3,FALSE,FALSE,FALSE,TRUE,FALSE
55841,Silverhawk,Nevada,Clark,1,FALSE,TRUE,FALSE,FALSE,FALSE
55841,Silverhawk,Nevada,Clark,2,FALSE,TRUE,FALSE,FALSE,FALSE
56090,Blacksand Generating Facility,California,Orange,1,FALSE,TRUE,FALSE,FALSE,FALSE
56090,Blacksand Generating Facility,California,Orange,2,FALSE,TRUE,FALSE,FALSE,FALSE
56104,Mankato Energy Center,Minnesota,Blue Earth,1,TRUE,FALSE,TRUE,TRUE,FALSE
56104,Mankato Energy Center,Minnesota,Blue Earth,2,FALSE,FALSE,FALSE,TRUE,FALSE
56298,Roseville Energy Park,California,Placer,1,TRUE,FALSE,TRUE,TRUE,FALSE
56298,Roseville Energy Park,California,Placer,2,TRUE,FALSE,TRUE,TRUE,FALSE
56350,Colorado Bend Energy Center,Texas,Wharton,1,TRUE,FALSE,TRUE,TRUE,FALSE
56350,Colorado Bend Energy Center,Texas,Wharton,2,TRUE,FALSE,TRUE,TRUE,FALSE
56571,Eastern Landfill Gas LLC,Maryland,Baltimore,1,FALSE,FALSE,TRUE,FALSE,FALSE
