state,county,plant_name,owner_name,unit,EIA,EIA_proposed,NEEDS,NESHAP
Utah,Millard,Intermountain Power Project,NA,1,FALSE,TRUE,FALSE,FALSE
Utah,Millard,Intermountain Power Project,NA,2,FALSE,TRUE,FALSE,FALSE
Utah,Utah,BYU Central Heating Plant,Brigham Young University (BYU),1,TRUE,FALSE,TRUE,FALSE
Virginia,Greensville,Greensville County Power Station,Dominion Virginia Power,1,TRUE,FALSE,TRUE,FALSE
Virginia,Greensville,Greensville County Power Station,Dominion Virginia Power,2,TRUE,FALSE,TRUE,FALSE
Virginia,Greensville,Greensville County Power Station,Dominion Virginia Power,3,TRUE,FALSE,TRUE,FALSE
Virginia,Greensville,Greensville County Power Station,Dominion Virginia Power,4,TRUE,FALSE,TRUE,FALSE
Virginia,Hanover,Doswell Energy Center,Doswell II LLC,1,TRUE,FALSE,TRUE,FALSE
Virginia,Hanover,Doswell Energy Center,Doswell II LLC,2,TRUE,FALSE,TRUE,FALSE
Virginia,Norfolk City,Naval Station Norfolk (NAVSTA Norfolk),Naval Station Norfolk (NAVSTA Norfolk),1,FALSE,FALSE,FALSE,TRUE
West Virginia,Harrison,ESC Harrison County Power,NA,1,FALSE,TRUE,FALSE,FALSE
West Virginia,Harrison,ESC Harrison County Power,NA,2,FALSE,TRUE,FALSE,FALSE
West Virginia,Randolph County,Columbia Gas - FILES CREEK 6C4340,"COLUMBIA GAS TRANSMISSION, LLC",1,FALSE,FALSE,FALSE,TRUE
West Virginia,Randolph County,Columbia Gas - FILES CREEK 6C4340,"COLUMBIA GAS TRANSMISSION, LLC",2,FALSE,FALSE,FALSE,TRUE
West Virginia,Randolph County,Columbia Gas - FILES CREEK 6C4340,"COLUMBIA GAS TRANSMISSION, LLC",3,FALSE,FALSE,FALSE,TRUE
West Virginia,Randolph County,Columbia Gas - FILES CREEK 6C4340,"COLUMBIA GAS TRANSMISSION, LLC",4,FALSE,FALSE,FALSE,TRUE
West Virginia,Upshur County,Columbia Gas - CLEVELAND 6C4330,"COLUMBIA GAS TRANSMISSION, LLC",1,FALSE,FALSE,FALSE,TRUE
West Virginia,Upshur County,Columbia Gas - CLEVELAND 6C4330,"COLUMBIA GAS TRANSMISSION, LLC",2,FALSE,FALSE,FALSE,TRUE
West Virginia,Upshur County,Columbia Gas - CLEVELAND 6C4330,"COLUMBIA GAS TRANSMISSION, LLC",3,FALSE,FALSE,FALSE,TRUE
West Virginia,Upshur County,Columbia Gas - CLEVELAND 6C4330,"COLUMBIA GAS TRANSMISSION, LLC",4,FALSE,FALSE,FALSE,TRUE
West Virginia,Wayne,Ceredo Compressor Station,"COLUMBIA GAS TRANSMISSION, LLC",1,FALSE,FALSE,FALSE,TRUE
Wisconsin,Rock,West Riverside Energy Center,Hanwha Q Cells USA Corp,1,TRUE,FALSE,TRUE,FALSE
Wisconsin,Rock,West Riverside Energy Center,Hanwha Q Cells USA Corp,2,TRUE,FALSE,TRUE,FALSE
Wisconsin,Rock,West Riverside Energy Center,Hanwha Q Cells USA Corp,3,TRUE,FALSE,TRUE,FALSE
Wisconsin,Rock County,WPL - RIVERSIDE ENERGY CENTER,Riverside Energy Center LLC,1,FALSE,FALSE,FALSE,TRUE
Wisconsin,Rock County,WPL - RIVERSIDE ENERGY CENTER,Riverside Energy Center LLC,2,FALSE,FALSE,FALSE,TRUE
NA,District of Columbia,"AOC, Capitol Power Plant",NA,1,TRUE,FALSE,FALSE,FALSE
NA,Toa Baja,"Puerto Rico Electric Power Authority, Palo Seco","Puerto Rico Electric Power Authority, Palo Seco",1,FALSE,FALSE,FALSE,TRUE
NA,Toa Baja,"Puerto Rico Electric Power Authority, Palo Seco","Puerto Rico Electric Power Authority, Palo Seco",2,FALSE,FALSE,FALSE,TRUE
NA,Toa Baja,"Puerto Rico Electric Power Authority, Palo Seco","Puerto Rico Electric Power Authority, Palo Seco",3,FALSE,FALSE,FALSE,TRUE
